property_name,is_single_unit,address,description,star_rating,country,city,currency,state,lng,lat,user_email,category,language,images,amenities,checkin_time_from,checkin_time_to,checkout_time_from,checkout_time_to,children_allowed,extra_beds_available,extra_bed_cost,pets_allowed,pet_fee,pet_details,cancellations_allowed,cancellation_deadline_days,cancellation_fee_type,cancellation_fee_amount,refundable,additional_notes,base_price_per_night,seasonal_price,discount_percentage
Hotel Barahi,False,"Lakeside, Pokhara",A luxurious stay with lake views.,5,Nepal,Pokhara,NPR,Gandaki,83.9611,28.2096,owner1@example.com,Hotel,English,"[""image1.jpg"", ""image2.jpg""]","[""WiFi"", ""Pool"", ""Restaurant""]",14:00,23:00,06:00,12:00,True,True,10.0,False,,,True,5,percentage,10.0,True,Free cancellation before 5 days,120.0,150.0,5
Temple Tree Resort,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9697,28.2177,owner19@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Bar', 'Spa', 'WiFi']",14:00,23:00,06:00,12:00,True,True,16.78,False,9.53,,True,9,none,19.84,True,Cancellation policy applies as per booking terms.,129.86,75.73,2
Hotel Pokhara Grande,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9692,28.2105,owner16@example.com,Hotel,English,"[""image1.jpg"", ""image2.jpg""]","['Restaurant', 'Bar', 'Pool', 'Gym']",14:00,23:00,06:00,12:00,True,False,,True,,,True,5,percentage,37.33,False,Cancellation policy applies as per booking terms.,122.91,138.91,4
Fish Tail Lodge,False,"Lakeside, Pokhara",A beautiful resort with excellent facilities.,5,Nepal,Pokhara,NPR,Gandaki,83.9635,28.207,owner7@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Pool', 'Bar', 'Spa']",14:00,23:00,06:00,12:00,False,False,14.77,True,5.51,,True,5,none,33.21,False,Cancellation policy applies as per booking terms.,69.49,246.68,8
Hotel Middle Path,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9639,28.2145,owner18@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Pool', 'Spa', 'Restaurant', 'Bar']",14:00,23:00,06:00,12:00,False,False,,False,6.95,Only small pets allowed,True,3,fixed,16.93,False,Cancellation policy applies as per booking terms.,130.21,110.31,6
Himalayan Front Hotel,False,"Lakeside, Pokhara",A beautiful resort with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9566,28.2005,owner2@example.com,Hotel,English,"[""image1.jpg"", ""image2.jpg""]","['Bar', 'Pool', 'Parking', 'Restaurant']",14:00,23:00,06:00,12:00,False,True,15.8,True,,,True,6,fixed,11.18,False,Cancellation policy applies as per booking terms.,175.17,185.17,9
Swiss International Hotel,False,"Lakeside, Pokhara",A beautiful resort with excellent facilities.,3,Nepal,Pokhara,NPR,Gandaki,83.9594,28.2135,owner6@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Gym', 'Pool', 'Bar', 'Spa']",14:00,23:00,06:00,12:00,True,False,,True,8.48,Only small pets allowed,True,10,fixed,23.07,False,Cancellation policy applies as per booking terms.,93.41,219.46,14
The Pavilions Himalayas,False,"Lakeside, Pokhara",A beautiful resort with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9681,28.2079,owner7@example.com,Hotel,English,"[""image1.jpg"", ""image2.jpg""]","['Gym', 'Pool', 'Bar', 'Spa', 'WiFi', 'Parking']",14:00,23:00,06:00,12:00,False,True,13.02,False,,Only small pets allowed,True,10,fixed,35.28,False,Cancellation policy applies as per booking terms.,144.94,189.43,13
Raniban Retreat,False,"Lakeside, Pokhara",A beautiful resort with excellent facilities.,4,Nepal,Pokhara,NPR,Gandaki,83.9643,28.2181,owner15@example.com,Resort,English,"[""image1.jpg"", ""image2.jpg""]","['Bar', 'Gym', 'Spa']",14:00,23:00,06:00,12:00,False,False,,False,8.75,Only small pets allowed,True,9,percentage,49.58,False,Cancellation policy applies as per booking terms.,195.08,201.97,10
Lake View Resort,False,"Lakeside, Pokhara",A beautiful lodge with excellent facilities.,5,Nepal,Pokhara,NPR,Gandaki,83.9593,28.2037,owner6@example.com,Lodge,English,"[""image1.jpg"", ""image2.jpg""]","['Restaurant', 'WiFi', 'Bar', 'Pool']",14:00,23:00,06:00,12:00,True,True,8.11,True,,Only small pets allowed,True,5,percentage,11.61,False,Cancellation policy applies as per booking terms.,94.45,145.11,1
